"User Type","Product","Price","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Ladies Suit 2 Pc","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Ladies Suit 3 Pc","249","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Shawl - Toosh","499","","","","","","","","","","","","","","","","","","","","","","",""
"Men Luxury","Coat","324","","","","","","","","","","","","","","","","","","","","","","",""
"Men Luxury","Coat - Short","249","","","","","","","","","","","","","","","","","","","","","","",""
"Men Luxury","Jacket - Short ( including leather )","449","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Bed Cover Double / King","199","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Bed Sheet Double / King","114","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Cushion Cover Big","69","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Single","249","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Double","299","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Cover ( Single )","139","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Cover ( Double )","199","","","","","","","","","","","","","","","","","","","","","","",""
